,tier,s1,s2,text,match_melodia,match_melodia_mix,match_ftanet,match_ftanet_mix,match_melodia_spleeter,match_melodia_spleeter_mix,group_num_melodia,group_num_melodia_mix,group_num_ftanet,group_num_ftanet_mix,group_num_melodia_spleeter,group_num_melodia_spleeter_mix,occ_num_melodia,occ_num_melodia_mix,occ_num_ftanet,occ_num_ftanet_mix,occ_num_melodia_spleeter,occ_num_melodia_spleeter_mix
115,underlying_full_phrase,246.484,251.162,ssnsrsndmmgmpmggrs,match,no match,match,match,match,no match,34.0,,31.0,43.0,36.0,,4.0,,4.0,0.0,3.0,
116,underlying_full_phrase,251.822,257.08099999999996,grsssnrsnndmgmn,match,no match,match,match,match,no match,33.0,,33.0,54.0,38.0,,0.0,,4.0,1.0,0.0,
117,underlying_full_phrase,257.404,261.848,ssnsrsndmmgmpmggrs,match,match,match,match,match,match,20.0,11.0,17.0,38.0,21.0,8.0,0.0,1.0,11.0,1.0,0.0,16.0
118,underlying_full_phrase,262.131,267.598,sgrgmmgmmnnssss,no match,no match,match,match,no match,no match,,,32.0,42.0,,,,,4.0,2.0,,
119,underlying_full_phrase,267.82099999999997,274.154,nrsnsndmgmpmgrgmgmn,match,no match,match,match,match,no match,39.0,,43.0,51.0,41.0,,0.0,,0.0,2.0,0.0,
120,underlying_full_phrase,274.166,278.433,nnsndmmmgmpgpmgrs,match,no match,match,match,match,match,20.0,,17.0,22.0,21.0,17.0,2.0,,12.0,2.0,4.0,5.0
121,underlying_full_phrase,278.628,281.267,sssnnpn,match,no match,match,match,match,no match,1.0,,3.0,4.0,1.0,,0.0,,3.0,8.0,0.0,
122,underlying_full_phrase,302.87,308.459,pmgrssssnnpn,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
123,underlying_full_phrase,308.723,313.534,ssgrgmgmpmggrs,match,match,match,match,match,no match,29.0,16.0,32.0,37.0,34.0,,2.0,2.0,1.0,2.0,2.0,
124,underlying_full_phrase,313.777,319.077,pmgrssssnnpn,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
125,underlying_full_phrase,319.709,324.564,ssgrgmgmpmggrs,match,match,match,match,match,match,29.0,16.0,32.0,37.0,34.0,13.0,3.0,4.0,2.0,1.0,3.0,5.0
126,underlying_full_phrase,324.733,330.233,pmgrssssnnpn,no match,no match,no match,match,no match,match,,,,40.0,,13.0,,,,1.0,,7.0
127,underlying_full_phrase,330.538,335.249,ssgrgmgmpmggrs,match,no match,match,match,match,no match,29.0,,32.0,37.0,34.0,,0.0,,0.0,0.0,0.0,
128,underlying_full_phrase,335.344,340.842,pmgrssssnnpn,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
129,underlying_full_phrase,341.371,346.42699999999996,ssgrgmgmpmggrs,match,no match,no match,no match,match,no match,29.0,,,,34.0,,1.0,,,,1.0,
130,underlying_full_phrase,352.37699999999995,357.12800000000004,mmmmmpmgrgm,match,no match,match,match,no match,no match,43.0,,42.0,37.0,,,0.0,,0.0,5.0,,
